courseid,testid,stuid,Tflist,knowledgeList,score,totalScore
17600,50081,5106,"1,0,1,0,1,1,0,1,0,0","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",10,20
17600,50080,5107,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5077,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5094,"1,1,0,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5105,"1,1,1,1,1,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5071,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5085,"1,0,1,1,1,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5116,"1,1,1,1,1,1,0,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5081,"1,1,1,1,0,1,0,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5111,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5088,"1,1,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50081,5059,"1,1,1,1,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",20,20
17600,50080,5061,"1,0,1,1,1,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50081,5067,"1,1,1,1,1,1,1,1,1,0","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",18,20
17600,50080,5110,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5078,"1,1,1,1,1,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5087,"0,0,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",14,20
17600,50080,5084,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5104,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50081,5079,"1,1,1,1,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",20,20
17600,50081,5062,"1,1,1,1,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",20,20
17600,50080,5102,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50081,5108,"1,0,0,1,1,0,0,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",12,20
17600,50080,5082,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5109,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50081,5063,"1,1,1,0,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",18,20
17600,50080,5114,"1,0,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5083,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50081,5096,"1,1,1,1,0,1,1,1,1,0","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",16,20
